passengerId,passengerId2,numFlightsTogether
760,701,15
3590,3503,14
2759,2717,14
5490,2939,13
4395,2939,12
9252,7877,12
763,760,12
763,701,12
1484,1337,12
4316,2759,12
374,366,12
3093,1208,12
4441,2550,12
4373,4316,12
4399,4395,12
5423,3278,12
2867,1337,12
9522,3021,12
3590,2926,12
1371,975,12
392,382,12
5491,5481,12
4827,1673,12
6813,3590,12
2511,407,12
4059,4016,12
752,733,11
724,716,11
4046,4034,11
6100,6052,11
9369,7902,11
9258,3589,11
1023,1001,11
5789,1208,11
5491,4316,11
3090,3021,11
752,366,11
10899,855,11
9522,7747,11
2097,1678,11
1884,1865,11
5481,4316,11
4339,4009,11
1849,392,11
866,816,11
3477,1053,11
6777,1966,11
4373,2759,11
2959,2939,11
624,226,11
6447,6418,11
1023,772,11
4451,382,11
2906,901,11
1464,1337,11
1371,1337,11
772,746,11
2783,1818,11
10576,10541,11
2969,2939,11
9828,9752,11
1029,360,11
7560,4451,11
1343,288,11
7560,382,11
8679,6113,11
4552,1046,11
1696,1666,11
7810,2068,11
6205,4200,11
771,755,11
6507,1733,11
975,928,11
5546,5544,11
2969,2959,11
5481,5443,11
7872,7866,11
4316,2717,11
7162,4541,11
4053,4025,11
9069,7810,11
4044,4011,11
4674,4607,11
5491,5443,11
7685,3735,11
752,739,10
6813,3418,10
5491,2759,10
2867,1484,10
2489,1378,10
2867,2511,10
751,701,10
1337,928,10
6813,3503,10
3169,606,10
10083,10016,10
5989,5911,10
8158,3278,10
5522,2231,10
5443,2759,10
8584,8562,10
2511,928,10
5478,5464,10
2926,2857,10
2511,1484,10
2988,2905,10
1337,975,10
10368,8363,10
760,751,10
6805,3356,10
8257,3223,10
6548,6522,10
8679,8596,10
7039,3278,10
739,733,10
6447,4249,10
4083,4009,10
7605,1677,10
4399,2939,10
5798,5744,10
5491,5440,10
5414,4339,10
752,374,10
275,274,10
9066,392,10
5566,5505,10
763,751,10
11074,11046,10
8961,6084,10
5423,975,10
5481,2759,10
11871,10767,10
11296,75,10
368,362,10
1955,1337,10
8363,4056,10
9098,9069,10
2857,2776,10
9742,3466,10
4399,4388,10
5494,5481,10
3120,477,10
670,624,10
3590,3418,10
4249,1677,10
7866,7662,10
7327,1772,10
5977,5966,10
4969,2294,10
4700,4682,10
4249,3418,10
8158,5423,10
5111,5101,10
4395,4388,10
4249,3590,10
9066,1849,10
5946,5792,10
4080,4012,10
739,374,10
6560,4774,10
6813,5789,10
4294,4260,10
8190,5482,10
2773,1865,10
5500,5443,10
10478,859,10
8679,2201,10
1095,701,10
2489,1041,10
1371,928,10
8262,8260,10
5443,4316,10
2773,1884,10
5490,4395,10
2550,1447,10
2408,2068,10
1677,1635,10
4483,3180,10
1849,1822,10
9282,9258,10
760,716,10
2441,2223,10
1666,1464,10
13221,12323,10
5494,5491,10
6813,1208,10
1378,1041,10
1095,760,10
10716,10767,10
4441,1447,10
3590,1677,10
5481,5440,10
3503,2926,10
5500,5494,10
4607,1884,10
6813,4249,10
4656,4609,10
7579,1064,10
5500,5440,10
3802,92,10
5500,5481,10
5375,3896,10
3865,3847,10
1696,1464,10
